Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,value_x10
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,7193,"ANZSIC06 groups A011, A012, and A013",7193719371937193719371937193719371937193
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,243600,"ANZSIC06 groups A011, A012, and A013",243600243600243600243600243600243600243600243600243600243600
2023,Level 4,AA111,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,31800,"ANZSIC06 groups A011, A012, and A013",31800318003180031800318003180031800318003180031800
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,83,"ANZSIC06 groups A011, A012, and A013",83838383838383838383
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,73,"ANZSIC06 groups A011, A012, and A013",73737373737373737373
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,8,"ANZSIC06 groups A011, A012, and A013",8888888888
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,4,"ANZSIC06 groups A011, A012, and A013",4444444444
2023,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,48,"ANZSIC06 groups A011, A012, and A013",48484848484848484848
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income,Financial performance,13284,ANZSIC06 groups A014 and A015,13284132841328413284132841328413284132841328413284
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,12381,ANZSIC06 groups A014 and A015,12381123811238112381123811238112381123811238112381
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,222,ANZSIC06 groups A014 and A015,222222222222222222222222222222
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income,Financial performance,680,ANZSIC06 groups A014 and A015,680680680680680680680680680680
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure,Financial performance,11627,ANZSIC06 groups A014 and A015,11627116271162711627116271162711627116271162711627
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations,Financial performance,910,ANZSIC06 groups A014 and A015,910910910910910910910910910910
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes,Financial performance,204,ANZSIC06 groups A014 and A015,204204204204204204204204204204
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation,Financial performance,616,ANZSIC06 groups A014 and A015,616616616616616616616616616616
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid,Financial performance,1210,ANZSIC06 groups A014 and A015,1210121012101210121012101210121012101210
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 groups A014 and A015,0000000000
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,8599,ANZSIC06 groups A014 and A015,8599859985998599859985998599859985998599
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses,Financial performance,89,ANZSIC06 groups A014 and A015,89898989898989898989
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks,Financial performance,6309,ANZSIC06 groups A014 and A015,6309630963096309630963096309630963096309
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks,Financial performance,6465,ANZSIC06 groups A014 and A015,6465646564656465646564656465646564656465
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H23,Surplus before income tax,Financial performance,1813,ANZSIC06 groups A014 and A015,1813181318131813181318131813181318131813
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H24,Total assets,Financial position,68115,ANZSIC06 groups A014 and A015,68115681156811568115681156811568115681156811568115
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H25,Current assets,Financial position,14061,ANZSIC06 groups A014 and A015,14061140611406114061140611406114061140611406114061
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H26,Fixed tangible assets,Financial position,44634,ANZSIC06 groups A014 and A015,44634446344463444634446344463444634446344463444634
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H29,Other assets,Financial position,9420,ANZSIC06 groups A014 and A015,9420942094209420942094209420942094209420
2023,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H30,Total equity and liabilities,Financial position,68115,ANZSIC06 groups A014 and A015,68115681156811568115681156811568115681156811568115
